wikidataID	lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	P5097_logainm	P1545_geohive	ciic	count	P973_link_townland_ie	comment
Q72006009	en	Kilmannin Townland	Kilmannin Townland, Co. Mayo	Cill Mhainín	Q2151232	Q27	Q164421	Q178626	Q4863015	Q60553584	Q59730350	53.7736111.-8.765555555555556	5745598			4	1	https://www.townlands.ie/mayo/costello/bekan/loughanboy/kilmannin/	
Q69378747	en	Ballyboodan Townland	Ballyboodan Townland, Co. Kilkenny	Baile Mhuadáin	Q2151232	Q27	Q159736	Q180231	Q60496819	Q60555608	Q59719948	52.4719444.-7.231111111111111	5265769			38	1	https://www.townlands.ie/kilkenny/knocktopher/knocktopher/knocktopher/ballyboodan/	
Q72006007	en	Greenhill Townland	Greenhill Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q4863004	Q60556021	Q59724741	52.0811111.-8.601944444444444	5860011			57,58	2	https://www.townlands.ie/cork/barretts/mourneabbey/ballynamona/greenhill/	
Q69385525	en	Garranes Townland	Garranes Townland, Co. Cork	An Garrán	Q2151232	Q27	Q131438	Q162475	Q20616069	Q60557037	Q59724324	51.8163889.-8.761666666666667	6168494	8299		81	1	https://www.townlands.ie/cork/kinalmeaky/templemartin/templemartin/garranes/	
Q69378412	en	Barrahaurin Townland	Barrahaurin Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942774	Q59724717	Q6942774	52.0158333.-8.818333333333333	6163380			103	1	https://www.townlands.ie/cork/east-muskerry/donaghmore/kilcullen/barrahaurin/	
Q69383268	en	Knockshanawee Townland	Knockshanawee Townland, Co. Cork	Cnoc Seanmhaí	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552553	Q59724316	51.8680556.-8.794722222222221	6171751	8237		112,113,114,115,116,117	3	https://www.townlands.ie/cork/east-muskerry/aglish/moviddy/knockshanawee/	
Q69379704	en	Coolmagort Townland	Coolmagort Townland, Co. Kerry		Q2151232	Q27	Q131438	Q184469	Q59419928	Q60555583	Q59725103	52.0611111.-9.642777777777777	6271467			197,198,199,200,201,202,203	7	https://www.townlands.ie/kerry/dunkerron-north/knockane/dunloe/coolmagort/	
