wikidataID	lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	P5097_logainm	P1545_geohive	ciic	count	P973_link_townland_ie	comment
	en	Carncome Townland	Carncome Townland, Co. Antrim	Carn Coim	Q2151232	Q26	Q93195	Q189592	Q2223081	Q60553887		54.8030556,-6.183333333333334	4149573	61366		309,310	2	https://www.townlands.ie/antrim/antrim-lower/connor/carncome/	
	en	Drumconwell Townland	Drumconwell Townland, Co. Armagh	Droim Conmhaoil	Q2151232	Q26	Q93195	Q4792580	Q2328680			54.3072222,-6.655277777777778	5326637			311	1	https://www.townlands.ie/armagh/fews-lower/lisnadil-lower-fews-portion/drumconwell/	
	en	Rantavan Townland	Rantavan Townland, Co. Cavan	Ráth an Tamhain	Q2151232	Q27	Q93195	Q187402	Q59419885	Q401068	Q59731556	53.805,-6.954444444444444	4630934	3796		312	1	https://www.townlands.ie/cavan/castlerahan/mullagh/mullagh/rantavan/	
	en	Dungummin Townland	Dungummin Townland, Co. Cavan		Q2151232	Q27	Q93195	Q187402	Q59419885			53.7944444,-7.209444444444444	4584217			313	1	https://www.townlands.ie/cavan/clanmahon/kilbride/kilbride/dungummin-upper/	descision for lower based on http://webgis.archaeology.ie/historicenvironment/
	en	Station Island Townland	Station Island Townland, Co. Donegal		Q2151232	Q27	Q93195	Q179424	Q59419901	Q60557016	Q2078221	54.6086111,-7.871111111111111	4087469	14203		314	1	https://www.townlands.ie/donegal/tirhugh/templecarn/pettigoe/station-island/	
	en	Mullyknock or Topped Mountain Townland	Mullyknock or Topped Mountain Townland, Co. Fermanagh	Mullach an Chnoic	Q2151232	Q26	Q93195	Q190678	Q4279482	Q990109		54.3622222,-7.5175	3572741	121032		315	1	https://www.townlands.ie/fermanagh/tirkennedy/enniskillen/mullyknock-or-topped-mountain/	
	en	Dunalis Townland	Dunalis Townland, Co. Londonderry	Dun-a-lios	Q2151232	Q26	Q93195	Q192208	Q5144612	Q60554145		55.1166667,-6.7444444444444445	4617106	57618		316	1	https://www.townlands.ie/dunboe/dunalis-upper/	descision for upper based on townlands.ie
	en	Aghascrebagh Townland	Aghascrebagh Townland, Co. Tyrone	Achadh Scriobach	Q2151232	Q26	Q93195	Q192229	Q7620795	Q60553597		54.6994444,-7.047777777777777	4555833	65249		317	1	https://www.townlands.ie/tyrone/strabane-upper/bodoney-lower/aghascrebagh/	
