wikidataID	lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	P5097_logainm	P1545_geohive	ciic	count	P973_link_townland_ie	comment
Q85394270	en	Ballyknock Townland	Ballyknock Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q56055358	Q60553522		52.0269444,-8.071111111111112	6356326	9970		82,83,84,85,86,87,88,89,90,91,92,93,94,95,96	15	https://www.townlands.ie/cork/kinatalloon/ballynoe/ballynoe/ballyknock/	
Q85394010	en	Ballyhank	Ballyhank Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942774	Q60555321	Q59724419	51.8386111,-8.608333333333333	6169174			97,98,99,100,101,102	6	https://www.townlands.ie/cork/east-muskerry/kilnaglory/ballincollig/ballyhank/	
Q85394077	en	Coolineagh	Coolineagh Townland, Co. Cork	Cúil an Fhéich	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552483	Q59724696	51.9558333,-8.823888888888888	6173583	11342		104,105	2	https://www.townlands.ie/cork/east-muskerry/aghabulloge/clonmoyle/coolineagh/	
Q85393938	en	Deelish	Deelish Townland, Co. Cork	Duílis	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552483	Q59724714	51.9408333,-8.887777777777778	6175602	11434		106	1	https://www.townlands.ie/cork/east-muskerry/aghabulloge/kilberrihert/deelish/	
Q85394126	en	Glenaglogh North	Glenaglogh North Townland, Co. Cork	Gleann na gCloch Thuaidh	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552483	Q59724725	51.9911111,-8.866111111111111	6173334	11549		107	1	https://www.townlands.ie/cork/east-muskerry/aghabulloge/mountrivers/glenaglogh-north/	
Q85394079	en	Kilcullen South	Kilcullen South Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942774	Q60554016	Q59724717	51.9875,-8.81	6173335			108	1	https://www.townlands.ie/cork/east-muskerry/donaghmore/kilcullen/kilcullen-south/	
Q85394014	en	Kilmartin Lower	Kilmartin Lower Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942774	Q60554016	Q59724717	51.9855556,-8.789444444444444	6163387			109	1	https://www.townlands.ie/cork/east-muskerry/donaghmore/kilcullen/kilmartin-lower/	
Q85393940	en	Knockrour	Knockrour Townland, Co. Cork	An Cnoc Ramhar	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552483	Q59724725	51.9575,-8.83888888888889	6173253	11552		110,111	2	https://www.townlands.ie/cork/east-muskerry/aghabulloge/mountrivers/knockrour/	
Q85394081	en	Monataggart	Monataggart Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942774	Q60554016	Q59724717	51.9744444,-8.779444444444445	6163395			118,119,120,121	4	https://www.townlands.ie/cork/east-muskerry/donaghmore/kilcullen/monataggart/	
Q85394114	en	Mountrivers	Mountrivers Townland, Co. Cork 	Cnoc idir Dhá Abhainn 	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552483	Q59724725	51.9708333,-8.829444444444444	6173279	11553		122,123	2	https://www.townlands.ie/cork/east-muskerry/aghabulloge/mountrivers/mountrivers/	
Q85394017	en	Rooves More	Rooves More Townland, Co. Cork 	An Rú Mór	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552553	Q59724685	51.8866667,-8.784166666666666	6171286	11243		124,125,126	3	https://www.townlands.ie/cork/east-muskerry/aglish/aglish/rooves-more/	
Q85394019	en	Tullig More	Tullig More Townland, Co. Cork 	An Tulaigh Mhór	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60555855	Q59724722	51.9463889,-8.757222222222222	6167687	11538		127	1	https://www.townlands.ie/cork/east-muskerry/magourney/magourney/tullig-more/	
Q85393943	en	Carrigagulla	Carrigagulla Townland, Co. Cork 	Carraig an Ghiolla	Q2151232	Q27	Q131438	Q162475	Q6942776	Q60555822	Q59724714	52.0075,-8.909166666666668	6133254	11451		128	1	https://www.townlands.ie/cork/west-muskerry/macroom/kilberrihert/carrigagulla/	
Q85393945	en	Cooldorragha	Cooldorragha Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942776	Q60555272	Q59724520	51.5086111,-9.02638888888889	6018126			129	1	https://www.townlands.ie/cork/west-muskerry/kilmichael/teerelton/cooldorragha/	
