wikidataID	lang	label	description	P276_location	P625_coord	ciic
Q69387988	en	Ogham Stones w/o collection reference	Ogam Stones without collection reference			
Q69379477	en	Stone Corridor University College Cork	Stone Corridor at University College Cork	Q1574185	51.893736,-8.492475	
Q69387903	en	Ballaqueeny Ogham Stones	Ballaqueeny Ogham Stones (CIIC 503,504)	Q69387717	54.075501,-4.739661	503,504
Q69383371	en	Knockshanawee Ogham Stones	Knockshanawee Ogham Stones (CIIC 112,113,114,115,116,117)	Q69383268	51.8680556,-8.794722222222221	112,113,114,115,116,117
Q69379810	en	Coolmagort Ogham Stones	Coolmagort Ogham Stones (CIIC 197,198,199,200,201,202,203)	Q69379704	52.0611111,-9.642777777777777	197,198,199,200,201,202,203
Q69379601	en	Ballinrannig Ogham Stones	Ballinrannig Ogham Stones (CIIC 148,149,150,151,152,153,154)	Q85394310	52.1761111,-10.386111111111111	148,149,150,151,152,153,154
Q72006309	en	Greenhill Ogham Stones	Greenhill Ogham Stones (CIIC 57,58)	Q72006007	52.0811111,-8.601944444444444	57,58
