WikidataID	lang_en	label_en	P1545_ciic	description_en	alias_en	lang_de	label_de	description_de	alias_de	P625_coord	P189_place	P17_country	P189_county	P1684	P518_I
Q70892606	en	CIIC 151	151	Ogam Stone CIIC 151		de	CIIC 151	Ogam Stein CIIC 151		52.1761111,-10.386111111111111	Q85394310	Q27	Q184469	BROINIOAS	
Q70892609	en	CIIC 152	152	Ogam Stone CIIC 152		de	CIIC 152	Ogam Stein CIIC 152		52.1761111,-10.386111111111111	Q85394310	Q27	Q184469	LUBBAIS MAQQI DUN....S	Q18122778
Q70892611	en	CIIC 153	153	Ogam Stone CIIC 153		de	CIIC 153	Ogam Stein CIIC 153		52.1761111,-10.386111111111111	Q85394310	Q27	Q184469	CCUCAMINI MAQQI CATTINI	Q18122778
Q85409935	en	CIIC 154	154	Ogam Stone CIIC 154		de	CIIC 154	Ogam Stein CIIC 154		52.1761111,-10.386111111111111	Q85394310	Q27	Q184469	CUNAMAQQI CORBBI MAQQ[I MUCCOI DOVVINIA]S	Q18122778
Q70892616	en	CIIC 155	155	Ogam Stone CIIC 155		de	CIIC 155	Ogam Stein CIIC 155		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	AKEVRITTI	
Q70892620	en	CIIC 156	156	Ogam Stone CIIC 156		de	CIIC 156	Ogam Stein CIIC 156		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	MAQQI-IARI KOI MAQQI MUCCOI DOVVINIAS	
Q70892623	en	CIIC 157	157	Ogam Stone CIIC 157		de	CIIC 157	Ogam Stein CIIC 157		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	DOVETI MAQQi CATTINI	
Q70892626	en	CIIC 158	158	Ogam Stone CIIC 158		de	CIIC 158	Ogam Stein CIIC 158		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	SUVALLOS MAQQI DUCOVAROS	
Q70892629	en	CIIC 159	159	Ogam Stone CIIC 159		de	CIIC 159	Ogam Stein CIIC 159		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	MAQI - DECCEDA MAQI GLASICONAS	
Q70892630	en	CIIC 160	160	Ogam Stone CIIC 160		de	CIIC 160	Ogam Stein CIIC 160		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	TRIA MAQA MAILAGNI CURCITTI	
Q70892632	en	CIIC 161	161	Ogam Stone CIIC 161		de	CIIC 161	Ogam Stein CIIC 161		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	INISSIONAS	
Q70892635	en	CIIC 162	162	Ogam Stone CIIC 162		de	CIIC 162	Ogam Stein CIIC 162		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	CUNAMAQQI AVI CORBBI	
Q70892636	en	CIIC 163	163	Ogam Stone CIIC 163		de	CIIC 163	Ogam Stein CIIC 163		52.1725,-10.031111111111112	Q85393964	Q27	Q184469	NETTA-LAMINACCA KOI MAQQI MUCOI DOVIN[IA]S	Q18122778
Q70892643	en	CIIC 164	164	Ogam Stone CIIC 164		de	CIIC 164	Ogam Stein CIIC 164		52.1552778,-10.03138888888889	Q85395620	Q27	Q184469	VOENACUNAS M....	Q18122778
Q70892646	en	CIIC 165	165	Ogam Stone CIIC 165		de	CIIC 165	Ogam Stein CIIC 165		52.1552778,-10.03138888888889	Q85395620	Q27	Q184469	[D]DROGNO	Q18122778
