WikidataID	lang_en	label_en	P1545_ciic	description_en	alias_en	lang_de	label_de	description_de	alias_de	P625_coord	P189_place	P17_country	P189_county	P1684	P518_I
Q70892272	en	CIIC 1	1	Ogam Stone CIIC 1		de	CIIC 1	Ogam Stein CIIC 1		53.4855556,-9.316944444444443	Q85390377	Q27	Q169923	LIE LUGUAEDON MACCI MENUEH	
Q70892276	en	CIIC 2	2	Ogam Stone CIIC 2		de	CIIC 2	Ogam Stein CIIC 2		53.8163889,-7.870555555555556	Q85390407	Q27	Q107397	QENUVEN...	Q18122778
Q70892278	en	CIIC 3	3	Ogam Stone CIIC 3		de	CIIC 3	Ogam Stein CIIC 3		53.7816667,-8.805000000000001	Q85390382	Q27	Q178626	CUNALEGI AVI QUNACANOS	
Q70899515	en	CIIC 4	4	Ogam Stone CIIC 4		de	CIIC 4	Ogam Stein CIIC 4		53.7736111,-8.765555555555556	Q72006009	Q27	Q178626	LUGADDON MAQI LUGUDEC DDISI MO[...]CQU S(?)EL	Q18122778
Q70899516	en	CIIC 5	5	Ogam Stone CIIC 5		de	CIIC 5	Ogam Stein CIIC 5		53.8961111,-8.665277777777778	Q85390384	Q27	Q178626	ALATTOS MAQI BR...	Q18122778
Q70892286	en	CIIC 6	6	Ogam Stone CIIC 6		de	CIIC 6	Ogam Stein CIIC 6		53.7286111,-8.709444444444443	Q85390409	Q27	Q178626	QASIGN[i] MAQ[I]	Q18122778
Q70899519	en	CIIC 7	7	Ogam Stone CIIC 7		de	CIIC 7	Ogam Stein CIIC 7		54.0744444,-9.08388888888889	Q85390388	Q27	Q178626	....MA]Q CERAN[I] AVI ATHECETAIMIN	Q18122778
Q70892288	en	CIIC 8	8	Ogam Stone CIIC 8		de	CIIC 8	Ogam Stein CIIC 8		53.7463889,-9.870000000000001	Q85390429	Q27	Q178626	]OVI	Q18122778
Q70892292	en	CIIC 9	9	Ogam Stone CIIC 9		de	CIIC 9	Ogam Stein CIIC 9		54.2602778,-9.330833333333333	Q85390391	Q27	Q178626	MAQ-ACTO MAQ GAR[... MAQI MUCOI Z]	Q18122778
Q70892302	en	CIIC 10	10	Ogam Stone CIIC 10		de	CIIC 10	Ogam Stein CIIC 10		54.2486111,-9.248055555555554	Q85390394	Q27	Q178626	L[E]GG               SD[...]LEŋESCAD MAQ CORRBRI MAQ AMMLLOŋITT	
Q70892303	en	CIIC 11	11	Ogam Stone CIIC 11		de	CIIC 11	Ogam Stein CIIC 11		53.84,-8.362222222222222	Q85390417	Q27	Q179437	CUNOVATO	
Q70892306	en	CIIC 12	12	Ogam Stone CIIC 12		de	CIIC 12	Ogam Stein CIIC 12		53.8075,-8.297777777777778	Q85390711	Q27	Q179437	VRAICCI MAQI MEDVVI	
Q70899521	en	CIIC 13	13	Ogam Stone CIIC 13		de	CIIC 13	Ogam Stein CIIC 13		53.8075,-8.297777777777778	Q85390711	Q27	Q179437	QREGAS MU[...	Q18122778
Q70899522	en	CIIC 14	14	Ogam Stone CIIC 14		de	CIIC 14	Ogam Stein CIIC 14		52.6316667,-6.956388888888889	Q85391730	Q27	Q181882	n/a	
Q70892312	en	CIIC 15	15	Ogam Stone CIIC 15		de	CIIC 15	Ogam Stein CIIC 15		52.8263889,-6.573611111111111	Q85391717	Q27	Q181882	RENI	Q18122778
Q70899524	en	CIIC 16	16	Ogam Stone CIIC 16		de	CIIC 16	Ogam Stein CIIC 16		52.7819444,-6.716666666666667	Q85391648	Q27	Q181882	DUNAIDONAS MAQI MARIANI	
Q70892316	en	CIIC 17	17	Ogam Stone CIIC 17		de	CIIC 17	Ogam Stein CIIC 17		52.8480556,-6.727222222222222	Q85391650	Q27	Q181882	MUCOI MUCC[I	Q18122778
Q70892318	en	CIIC 18	18	Ogam Stone CIIC 18		de	CIIC 18	Ogam Stein CIIC 18		53.4197222,-6.152500000000001	Q85391732	Q27	Q173500	S   B           N                   GL T  DM...	Q18122778
Q70899528	en	CIIC 19	19	Ogam Stone CIIC 19		de	CIIC 19	Ogam Stein CIIC 19		53.0311111,-6.756388888888889	Q85391762	Q27	Q173500	OVANOS AVI IVACATTOS	
Q70892328	en	CIIC 20	20	Ogam Stone CIIC 20		de	CIIC 20	Ogam Stein CIIC 20		53.0311111,-6.756388888888889	Q85391762	Q27	Q173500	MAQI-DDECCEDA MAQI MARIN	
Q70899529	en	CIIC 21	21	Ogam Stone CIIC 21		de	CIIC 21	Ogam Stein CIIC 21		53.0311111,-6.756388888888889	Q85391762	Q27	Q173500	.....]MAQQI COLLABOTA	Q18122778
Q70899530	en	CIIC 22	22	Ogam Stone CIIC 22		de	CIIC 22	Ogam Stein CIIC 22		53.0311111,-6.756388888888889	Q85391762	Q27	Q173500	...EGNI KOI MAQI MUC[OI] A[L]I[NI]	Q18122778
Q70899537	en	CIIC 23	23	Ogam Stone CIIC 23		de	CIIC 23	Ogam Stein CIIC 23		53.0311111,-6.756388888888889	Q85391762	Q27	Q173500	AV*S*S*MAQV*S	Q18122778
Q70899538	en	CIIC 24	24	Ogam Stone CIIC 24		de	CIIC 24	Ogam Stein CIIC 24		53.0311111,-6.756388888888889	Q85391762	Q27	Q173500	UR	
Q70899541	en	CIIC 25	25	Ogam Stone CIIC 25		de	CIIC 25	Ogam Stein CIIC 25		53.0311111,-6.756388888888889	Q85391762	Q27	Q173500	LA	
Q70899544	en	CIIC 26	26	Ogam Stone CIIC 26		de	CIIC 26	Ogam Stein CIIC 26		53.3752778,-6.551111111111111	Q85391654	Q27	Q173332	NETTAVRECC [KOI?] MAQI MUCCOI TRENALUGGO	Q18122778
Q70892342	en	CIIC 27	27	Ogam Stone CIIC 27		de	CIIC 27	Ogam Stein CIIC 27		52.76,-7.524444444444445	Q85391701	Q27	Q173332	CNAEMSECH CELLACH MINODOR MUAD MAELMAIRE MAELUADAIG MALMAIRE	
Q70892353	en	CIIC 28	28	Ogam Stone CIIC 28		de	CIIC 28	Ogam Stein CIIC 28		52.6513889,-7.150555555555556	Q85391656	Q27	Q180231	TASEGAGNI [MAQ]I MUCOI MACORBO	Q18122778
Q70892354	en	CIIC 29	29	Ogam Stone CIIC 29		de	CIIC 29	Ogam Stein CIIC 29		52.6177778,-7.1722222222222225	Q85391719	Q27	Q180231	BRAN[I]TTAS M[A]QI DUCR[I]DDA	Q18122778
Q70892357	en	CIIC 30	30	Ogam Stone CIIC 30		de	CIIC 30	Ogam Stein CIIC 30		52.6177778,-7.1722222222222225	Q85391719	Q27	Q180231	NAVALLO AVVI GENITTAC[...	Q18122778
Q70892359	en	CIIC 31	31	Ogam Stone CIIC 31		de	CIIC 31	Ogam Stein CIIC 31		52.5188889,-7.036388888888888	Q85391658	Q27	Q180231	DRUGNO MAQI MUCOI [....] NAMI	Q18122778
Q70892361	en	CIIC 32	32	Ogam Stone CIIC 32		de	CIIC 32	Ogam Stein CIIC 32		52.6325,-7.066111111111111	Q85391704	Q27	Q180231	MAQI-ERACIAS MAQI DIMAQA MUCO[I....	Q18122778
Q70892363	en	CIIC 33	33	Ogam Stone CIIC 33		de	CIIC 33	Ogam Stein CIIC 33		52.5425,-6.958055555555556	Q85391660	Q27	Q180231	n/a	
Q70892365	en	CIIC 34	34	Ogam Stone CIIC 34		de	CIIC 34	Ogam Stein CIIC 34		52.5386111,-7.158611111111111	Q85391706	Q27	Q180231	LOBBI KOI MAQQI MUCCOI RINI	
Q70892367	en	CIIC 35	35	Ogam Stone CIIC 35		de	CIIC 35	Ogam Stein CIIC 35		52.5775,-7.121388888888888	Q85391735	Q27	Q180231	VIR...	Q18122778
Q70892369	en	CIIC 36	36	Ogam Stone CIIC 36		de	CIIC 36	Ogam Stein CIIC 36		52.4438889,-7.360833333333333	Q85391666	Q27	Q180231	SEVERRIT [MAQI MUCOI RO]TTAIS	Q18122778
Q70892376	en	CIIC 37	37	Ogam Stone CIIC 37		de	CIIC 37	Ogam Stein CIIC 37		52.4438889,-7.360833333333333	Q85391666	Q27	Q180231	DOVATUCI [A]VI TULOTANAGIA	Q18122778
Q67510124	en	CIIC 38	38	Ogam Stone CIIC 38		de	CIIC 38	Ogam Stein CIIC 38		52.4719444,-7.231111111111111	Q69378747	Q27	Q180231	CORBI KOI MAQI LABRID [...	Q18122778
Q70892378	en	CIIC 39	39	Ogam Stone CIIC 39		de	CIIC 39	Ogam Stein CIIC 39		53.845,-6.476666666666667	Q85391668	Q27	Q180231	BRANOGENI	
Q70892380	en	CIIC 40	40	Ogam Stone CIIC 40		de	CIIC 40	Ogam Stein CIIC 40		53.6733333,-6.559166666666666	Q85391671	Q27	Q183539	MAQI-CAIRATINI AVI INEQAGLAS	Q18122778
Q70892381	en	CIIC 41	41	Ogam Stone CIIC 41		de	CIIC 41	Ogam Stein CIIC 41		53.7358333,-6.96	Q85391673	Q27	Q183544	COVAGNI MAQI MUCOI LUGUNI	
Q70892382	en	CIIC 42	42	Ogam Stone CIIC 42		de	CIIC 42	Ogam Stein CIIC 42		52.2505556,-6.720555555555555	Q85391707	Q27	Q183544	n/a	
Q70892386	en	CIIC 43	43	Ogam Stone CIIC 43		de	CIIC 43	Ogam Stein CIIC 43		52.1173,-6.6177	Q85391722	Q27	Q184599	LONAMNI AVI BARI	
Q70892388	en	CIIC 44	44	Ogam Stone CIIC 44		de	CIIC 44	Ogam Stein CIIC 44		52.2152778,-6.4275	Q85391675	Q27	Q184599	IARNI	
Q70892390	en	CIIC 45	45	Ogam Stone CIIC 45		de	CIIC 45	Ogam Stein CIIC 45		52.5436111,-6.530277777777778	Q85391677	Q27	Q184599	n/a	
Q70892393	en	CIIC 46	46	Ogam Stone CIIC 46		de	CIIC 46	Ogam Stein CIIC 46		52.1613889,-6.887777777777777	Q85391680	Q27	Q184599	SEDAN[I MAQQI CAT]TABBOTT AVVI DERCMASOC	Q18122778
Q70892399	en	CIIC 47	47	Ogam Stone CIIC 47		de	CIIC 47	Ogam Stein CIIC 47		52.9091667,-6.063611111111111	Q85391708	Q27	Q184599	NETA-CARI NETA CAGI	
Q70892402	en	CIIC 48	48	Ogam Stone CIIC 48		de	CIIC 48	Ogam Stein CIIC 48		53.0169444,-6.617777777777778	Q85391710	Q27	Q182591	IAQINI KOI MAQI MUC ....	Q18122778
Q70892404	en	CIIC 49	49	Ogam Stone CIIC 49		de	CIIC 49	Ogam Stein CIIC 49		52.9663889,-6.624444444444445	Q85391683	Q27	Q182591	..CCI MAQ..INI..	Q18122778
