lang_en	label_en	P1545_ciic	P1545_ucc	description_en	alias_en	lang_de	label_de	description_de	alias_de	P31	P361	P17	P625	P186	P195_1	P248_C1	P195_2	P248_C2	P195_3	P248_C3	P189_country	P189_place	P2043	P2048	P2049	P1684	P518_I	P6568_1	P518_IE1	P6568_2	P518_IE2	P6568_3	P518_IE3	P6568_4	P518_IE4	P6568_5	P518_IE5	P5816
en	CIIC 116	116	6	Ogam Stone CIIC 116	Ogam Stone 6 (Stone Corridor at UCC)	de	CIIC 116	Ogam Stein CIIC 116	Ogham Stein 6 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	51.8680611,-8.794719444444445	Q70383318	Q69383371	Q70256237	Q69379477	Q69379477			Q162475	Q69383268	25.4	190.05	43.18	BRANI MAQQI MUCC[OI......]R[A]L[...	Q18122778	Q67381254	Q18122778	Q67999759	Q18122778							Q56557591
en	CIIC 113	113	5	Ogam Stone CIIC 113	Ogam Stone 5 (Stone Corridor at UCC)	de	CIIC 113	Ogam Stein CIIC 113	Ogham Stein 5 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	51.8680611,-8.794719444444445	Q207079	Q69383371	Q70256237	Q69379477	Q69379477			Q162475	Q69383268	22.86	175.26	38.1	VEQIKAMI MAQI LUGUNI		Q67381254		Q67383482								Q56557591
en	CIIC 81	81	4	Ogam Stone CIIC 81	Ogam Stone 4 (Stone Corridor at UCC)	de	CIIC 81	Ogam Stein CIIC 81	Ogham Stein 4 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	51.8163889,-8.761666666666667	Q22731	Q69387988	Q70256237	Q69379477	Q69379477			Q162475	Q69385525	17.78	175.26	48.26	C[A]SSITT[A]S MAQI MUCOI CALLITI	Q18122778	Q67381254		Q67999759								Q56557591
en	CIIC 117	117	3	Ogam Stone CIIC 117	Ogam Stone 3 (Stone Corridor at UCC)	de	CIIC 117	Ogam Stein CIIC 117	Ogham Stein 3 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	51.8680556,-8.794722222222221	Q1932127	Q69383371	Q70256237	Q69379477	Q69379477			Q162475	Q69383268	27.94	156.21	40.46	COLLOS												Q56557159
en	CIIC 115	115	2	Ogam Stone CIIC 115	Ogam Stone 2 (Stone Corridor at UCC)	de	CIIC 115	Ogam Stein CIIC 115	Ogham Stein 2 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	52.0611111,-9.642777777777777	Q22731	Q69383371	Q70256237	Q69379477	Q69379477			Q162475	Q69383268	25.4	310.6	40.46	CULRIGAI MAQI MENUMAQ[I]		Q67381254										Q56557159
en	CIIC 103	103	1	Ogam Stone CIIC 103	Ogam Stone 1 (Stone Corridor at UCC)	de	CIIC 103	Ogam Stein CIIC 103	Ogham Stein 1 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	53.00444,-8.83	Q13085	Q69387988	Q70256237	Q69379477	Q69379477			Q162475	Q69378412	10.16	142.24	38.1	CARRTTACC GAQI MU CAGG[I]	Q18122778	Q67381254	Q18122778	Q67999759	Q18122778							Q56557591
en	CIIC 38	38		Ogam Stone CIIC 38		de	CIIC 38	Ogam Stein CIIC 38		Q2016147	Q67978809	Q27	52.4702561,-7.222583888888889	Q207079	Q69387988	Q70256237					Q180231	Q69378747	231.14	175.26	22.86	CORBI KOI MAQI LABRID [...	Q18122778	Q68000462		Q67381254								Q56557159
en	CIIC 154	154		Ogam Stone CIIC 154		de	CIIC 154	Ogam Stein CIIC 154		Q2016147	Q67978809	Q27	52.1785111,-10.38810611111111	Q13085	Q69379601	Q70256237					Q184469	Q69379307	172.72	50.8	17.78	CUNAMAQQI CORBBI MAQQ[I MUCCOI DOVVINIA]S	Q18122778	Q67381254	Q18122778	Q67999759	Q18122778	Q67382235						Q56557591
en	CIIC 203	203		Ogam Stone CIIC 203		de	CIIC 203	Ogam Stein CIIC 203		Q2016147	Q67978809	Q27	52.0607411,-9.63346611111111	Q13085	Q69379810	Q70256237					Q184469	Q69379704	81.28	25.4	6.99	MAQI-DECEDA MAQ̣[...	Q18122778	Q67381254										Q56557159
en	CIIC 4	4		Ogam Stone CIIC 4		de	CIIC 4	Ogam Stein CIIC 4		Q2016147	Q67978809	Q27	53.7736111,-8.765555555555556	Q13085	Q69387988	Q70256237					Q178626	Q72006009	121.92	50.8	30.48	LUGADDON MAQI LUGUDEC DDDISI MO[..]CQU S(?)EL	Q18122778	Q67383482		Q67381254								Q56557159
en	CIIC 57	57		Ogam Stone CIIC 57		de	CIIC 57	Ogam Stein CIIC 57		Q2016147	Q67978809	Q27	52.0811111,-8.601944444444444	Q22731	Q72006309	Q70256237					Q162475	Q72006007	246.38	55.88	30.48	TRENU MAQI MUCOI QRITTI		Q67381254		Q67999759								Q56557159
en	CIIC 58	58		Ogam Stone CIIC 58		de	CIIC 58	Ogam Stein CIIC 58		Q2016147	Q67978809	Q27	52.0811111,-8.601944444444444	Q22731	Q72006309	Q70256237					Q162475	Q72006007	n/a	n/a	n/a	CATTUBUTTAS MAQ[...	Q18122778	Q67383338		Q67381254	Q18122778							Q56557159
