WikidataID	lang_en	label_en	P1545_ciic	description_en	alias_en	lang_de	label_de	description_de	alias_de	P625_coord	P189_place	P17_country	P189_county	P1684	P518_I
Q70892745	en	CIIC 200	200	Ogam Stone CIIC 200		de	CIIC 200	Ogam Stein CIIC 200		52.0611111,-9.642777777777777	Q69379704	Q27	Q184469	MAQI-TTAL MAQI VORGOS MAQI MUCOI TOICAC	
Q70892748	en	CIIC 201	201	Ogam Stone CIIC 201		de	CIIC 201	Ogam Stein CIIC 201		52.0611111,-9.642777777777777	Q69379704	Q27	Q184469	MC[ ]GE [ ]M [..] Q[ ] ..[ ]D [ ]E	Q18122778
Q70892750	en	CIIC 202	202	Ogam Stone CIIC 202		de	CIIC 202	Ogam Stein CIIC 202		52.0611111,-9.642777777777777	Q69379704	Q27	Q184469	NIOTTVRECC MAQI [....]GNI	Q18122778
Q67978531	en	CIIC 203	203	Ogam Stone CIIC 203		de	CIIC 203	Ogam Stein CIIC 203		52.0611111,-9.642777777777777	Q69379704	Q27	Q184469	MAQI-DECEDA MAQ̣[...	Q18122778
Q70892754	en	CIIC 204	204	Ogam Stone CIIC 204		de	CIIC 204	Ogam Stein CIIC 204		52.2086111,-9.621666666666668	Q85395570	Q27	Q184469	ANM MAGANN MAQI NUADAT	
Q70892756	en	CIIC 205	205	Ogam Stone CIIC 205		de	CIIC 205	Ogam Stein CIIC 205		51.9744444,-9.665000000000001	Q85395535	Q27	Q184469	S[M]....BNAG MA[Q?]QI ERCIA	Q18122778
Q70892757	en	CIIC 206	206	Ogam Stone CIIC 206		de	CIIC 206	Ogam Stein CIIC 206		52.0719444,-9.747222222222222	Q85395537	Q27	Q184469	ANM VIRR[...]ANNI TIGIRN CEDATTOQA MAQI VEDELMET[T]	Q18122778
Q70892761	en	CIIC 207	207	Ogam Stone CIIC 207		de	CIIC 207	Ogam Stein CIIC 207		52.0719444,-9.747222222222222	Q85395537	Q27	Q184469	....]ECC MAQI L[UGUQ]RRIT	Q18122778
Q70892763	en	CIIC 208	208	Ogam Stone CIIC 208		de	CIIC 208	Ogam Stein CIIC 208		52.0719444,-9.747222222222222	Q85395537	Q27	Q184469	UMALL	
Q70892767	en	CIIC 209	209	Ogam Stone CIIC 209		de	CIIC 209	Ogam Stein CIIC 209		52.0719444,-9.747222222222222	Q85395537	Q27	Q184469	...]GGO MAQI AGILL[....	Q18122778
Q70892772	en	CIIC 210	210	Ogam Stone CIIC 210		de	CIIC 210	Ogam Stein CIIC 210		52.0719444,-9.747222222222222	Q85395537	Q27	Q184469	DUBE[B?]	Q18122778
Q70892774	en	CIIC 211	211	Ogam Stone CIIC 211		de	CIIC 211	Ogam Stein CIIC 211		52.0719444,-9.747222222222222	Q85395537	Q27	Q184469	RITTUVVECC MAQI VEDDONOS	Q18122778
Q70892778	en	CIIC 212	212	Ogam Stone CIIC 212		de	CIIC 212	Ogam Stein CIIC 212		52.0719444,-9.747222222222222	Q85395537	Q27	Q184469	n/a	
Q70892780	en	CIIC 213	213	Ogam Stone CIIC 213		de	CIIC 213	Ogam Stein CIIC 213		52.0719444,-9.747222222222222	Q85395537	Q27	Q184469	URG	
Q70892784	en	CIIC 214	214	Ogam Stone CIIC 214		de	CIIC 214	Ogam Stein CIIC 214		52.0680556,-9.71888888888889	Q85395538	Q27	Q184469	ANNVENI TEGG[....	Q18122778
Q70892785	en	CIIC 215	215	Ogam Stone CIIC 215		de	CIIC 215	Ogam Stein CIIC 215		52.0805556,-9.703055555555554	Q85395539	Q27	Q184469	ALATTO CELI BATTIGNI	
Q70892787	en	CIIC 216	216	Ogam Stone CIIC 216		de	CIIC 216	Ogam Stein CIIC 216		52.0805556,-9.703055555555554	Q85395539	Q27	Q184469	GOSOCTEAS MOSAC MAKINI	
Q70892791	en	CIIC 217	217	Ogam Stone CIIC 217		de	CIIC 217	Ogam Stein CIIC 217		52.0805556,-9.703055555555554	Q85395539	Q27	Q184469	NOCATI MAQI MAQI-REC [....] MAQI MUCOI UDDAMI	Q18122778
Q70892792	en	CIIC 218	218	Ogam Stone CIIC 218		de	CIIC 218	Ogam Stein CIIC 218		52.0805556,-9.703055555555554	Q85395539	Q27	Q184469	L[A]G[O]BB[... MUCO - TUCACAC	Q18122778
Q85411181	en	CIIC 218a	218a	Ogam Stone CIIC 218a		de	CIIC 218a	Ogam Stein CIIC 218a		52.0805556,-9.703055555555554	Q85395539	Q27	Q184469	n/a	
Q70892797	en	CIIC 219	219	Ogam Stone CIIC 219		de	CIIC 219	Ogam Stein CIIC 219		51.91,-9.746666666666666	Q85395602	Q27	Q184469	ANM CRUNAN MAQ LUQIN	Q18122778
Q70892799	en	CIIC 220	220	Ogam Stone CIIC 220		de	CIIC 220	Ogam Stein CIIC 220		51.7730556,-10.122222222222224	Q85395573	Q27	Q184469	ANM LLATIGNI MAQ M[I]N[E]RC M[UCOI] Q[...]CI	Q18122778
Q70892801	en	CIIC 221	221	Ogam Stone CIIC 221		de	CIIC 221	Ogam Stein CIIC 221		51.8811111,-9.786666666666667	Q85395540	Q27	Q184469	CATVVIRR MAQI LUGUVVEC	
Q70892805	en	CIIC 222	222	Ogam Stone CIIC 222		de	CIIC 222	Ogam Stein CIIC 222		51.8586111,-9.875	Q85395541	Q27	Q184469	.....]NEGGNI	Q18122778
Q70892807	en	CIIC 223	223	Ogam Stone CIIC 223		de	CIIC 223	Ogam Stein CIIC 223		51.8586111,-9.875	Q85395605	Q27	Q184469	ANM VINNAGITLET...	Q18122778
Q70892808	en	CIIC 224	224	Ogam Stone CIIC 224		de	CIIC 224	Ogam Stein CIIC 224		51.8852778,-9.525833333333335	Q85395543	Q27	Q184469	MOŊUNILOCID MAQI ALOTTO	
Q70892810	en	CIIC 225	225	Ogam Stone CIIC 225		de	CIIC 225	Ogam Stein CIIC 225		51.8475,-9.551666666666668	Q85395607	Q27	Q184469	NOARRA MAQI VORUDRAN	
Q70892813	en	CIIC 226	226	Ogam Stone CIIC 226		de	CIIC 226	Ogam Stein CIIC 226		51.8394444,-9.389166666666666	Q85395624	Q27	Q184469	ORIBRASSIA	
Q70892814	en	CIIC 227	227	Ogam Stone CIIC 227		de	CIIC 227	Ogam Stein CIIC 227		51.8833333,-9.413611111111111	Q85395546	Q27	Q184469	OTTINN MAQI VECR[EC]	Q18122778
Q70892818	en	CIIC 228	228	Ogam Stone CIIC 228		de	CIIC 228	Ogam Stein CIIC 228		52.5666667,-9.421388888888888	Q85395548	Q27	Q184469	MAQI BROCI	
Q70892821	en	CIIC 229	229	Ogam Stone CIIC 229		de	CIIC 229	Ogam Stein CIIC 229		51.9211111,-10.166666666666666	Q85395576	Q27	Q184469	ANM CALUMANN MAQ[...	Q18122778
Q70892823	en	CIIC 230	230	Ogam Stone CIIC 230		de	CIIC 230	Ogam Stein CIIC 230		51.8941667,-10.176944444444445	Q85395549	Q27	Q184469	D[...]A[.C?.] AVI DALAGNI [MAQI C...?] EQQEGGNI MAQI MAQI-CARATTINN	Q18122778
Q70892827	en	CIIC 231	231	Ogam Stone CIIC 231		de	CIIC 231	Ogam Stein CIIC 231		51.9122222,-10.365555555555556	Q85395579	Q27	Q184469	LOGITTI MAQI ERPENN	
