WikidataID	lang_en	label_en	P1545_ciic	description_en	alias_en	lang_de	label_de	description_de	alias_de	P625_coord	P189_place	P17_country	P189_county	P1684	P518_I
Q70892999	en	CIIC 295	295	Ogam Stone CIIC 295		de	CIIC 295	Ogam Stein CIIC 295		52.1113889,-7.6	Q85396914	Q27	Q184594	Q[E]CC[IAS] M[U]C[OI B]R[O]E[NIONAS]	Q18122778
Q70893002	en	CIIC 296	296	Ogam Stone CIIC 296		de	CIIC 296	Ogam Stein CIIC 296		52.1113889,-7.6	Q85396914	Q27	Q184594	...]CIR MAQI MUC[...	Q18122778
Q70893003	en	CIIC 297	297	Ogam Stone CIIC 297		de	CIIC 297	Ogam Stein CIIC 297		52.1113889,-7.6	Q85396914	Q27	Q184594	VORTIGURN	
Q70893005	en	CIIC 298	298	Ogam Stone CIIC 298		de	CIIC 298	Ogam Stein CIIC 298		52.1113889,-7.6	Q85396914	Q27	Q184594	VEDABAR M[A]Q[.....]LSM MOCOI ORD[....]REA.	Q18122778
Q70893008	en	CIIC 299	299	Ogam Stone CIIC 299		de	CIIC 299	Ogam Stein CIIC 299		52.1113889,-7.6	Q85396914	Q27	Q184594	[MAQI?] MOŊEDIAS MAQI MUIBITI	Q18122778
Q70893010	en	CIIC 300	300	Ogam Stone CIIC 300		de	CIIC 300	Ogam Stein CIIC 300		52.1608333,-7.59	Q85396859	Q27	Q184594	CUNNETAS MAQI GOC[OI] NETA-SEGAMONAS	Q18122778
Q70893016	en	CIIC 301	301	Ogam Stone CIIC 301		de	CIIC 301	Ogam Stein CIIC 301		52.2672222,-7.746944444444445	Q85396862	Q27	Q184594	DOMOKI	
Q70893017	en	CIIC 302	302	Ogam Stone CIIC 302		de	CIIC 302	Ogam Stein CIIC 302		52.185,-7.226666666666667	Q85396997	Q27	Q184594	CUMNI MAQI MUCOI VALUVI	
Q70893020	en	CIIC 303	303	Ogam Stone CIIC 303		de	CIIC 303	Ogam Stein CIIC 303		52.3111111,-7.385000000000001	Q85396916	Q27	Q184594	CATABAR MOCO VIRICORB	
Q70893023	en	CIIC 304	304	Ogam Stone CIIC 304		de	CIIC 304	Ogam Stein CIIC 304		52.3305556,-7.391111111111112	Q85396978	Q27	Q184594	VOCAGNI MAQI CUR(I)T	Q18122778
Q70893024	en	CIIC 305	305	Ogam Stone CIIC 305		de	CIIC 305	Ogam Stein CIIC 305		52.3241667,-7.379166666666666	Q85396866	Q27	Q184594	n/a	
Q70893028	en	CIIC 306	306	Ogam Stone CIIC 306		de	CIIC 306	Ogam Stein CIIC 306		52.3263889,-7.511666666666667	Q85396870	Q27	Q184594	LUGUDI MAQI L..D...QA MOCOI DONM(A)	Q18122778
Q70893030	en	CIIC 307	307	Ogam Stone CIIC 307		de	CIIC 307	Ogam Stein CIIC 307		52.3419444,-7.487777777777778	Q85396919	Q27	Q184594	MODDAGN[I] MAQI GATTAGN[I] MUCOI LUGUNI	Q18122778
Q70893035	en	CIIC 308	308	Ogam Stone CIIC 308		de	CIIC 308	Ogam Stein CIIC 308		52.3419444,-7.487777777777778	Q85396919	Q27	Q184594	n/a	
Q70893037	en	CIIC 309	309	Ogam Stone CIIC 309		de	CIIC 309	Ogam Stein CIIC 309		54.8030556,-6.183333333333334	Q85392806	Q27	Q184594	TORAESCEUSAS MAQI MUCOI MEUTINI	
Q70893044	en	CIIC 310	310	Ogam Stone CIIC 310		de	CIIC 310	Ogam Stein CIIC 310		54.8030556,-6.183333333333334	Q85392806	Q27	Q184594	CAGINADI MAQI VOBARACI	
Q70893046	en	CIIC 311	311	Ogam Stone CIIC 311		de	CIIC 311	Ogam Stein CIIC 311		54.3072222,-6.655277777777778	Q85392810	Q26	Q189592	DINEGLO MAQI QETAIS	
Q70893047	en	CIIC 312	312	Ogam Stone CIIC 312		de	CIIC 312	Ogam Stein CIIC 312		53.805,-6.954444444444444	Q85392813	Q26	Q4792580	OSBBAR	
Q70893050	en	CIIC 313	313	Ogam Stone CIIC 313		de	CIIC 313	Ogam Stein CIIC 313		53.7944444,-7.209444444444444	Q85392823	Q27	Q187402	OVOMAN(I?)	Q18122778
Q70893052	en	CIIC 314	314	Ogam Stone CIIC 314		de	CIIC 314	Ogam Stein CIIC 314		54.6086111,-7.871111111111111	Q85392816	Q27	Q187402	n/a	
Q70893056	en	CIIC 315	315	Ogam Stone CIIC 315		de	CIIC 315	Ogam Stein CIIC 315		54.3622222,-7.5175	Q85392831	Q27	Q179424	NETTACU[NAS].	
Q70893058	en	CIIC 316	316	Ogam Stone CIIC 316		de	CIIC 316	Ogam Stein CIIC 316		55.1166667,-6.7444444444444445	Q85392833	Q26	Q190678	BROCAGNI MAQI MU	
Q70893060	en	CIIC 317	317	Ogam Stone CIIC 317		de	CIIC 317	Ogam Stein CIIC 317		54.6994444,-7.047777777777777	Q85392826	Q26	Q192208	DOTETTO MAQI MAGLANI	
