WikidataID	lang_en	label_en	P1545_ciic	description_en	alias_en	lang_de	label_de	description_de	alias_de	P625_coord	P189_place	P17_country	P189_county	P1684	P518_I
Q70892409	en	CIIC 51	51	Ogam Stone CIIC 51		de	CIIC 51	Ogam Stein CIIC 51		52.9980556,-6.535	Q85391711	Q27	Q182591	MAQI NILI	
Q70892410	en	CIIC 52	52	Ogam Stone CIIC 52		de	CIIC 52	Ogam Stein CIIC 52		53.0222222,-9.063611111111111	Q85393909	Q27	Q182591	n/a	
Q70892412	en	CIIC 53	53	Ogam Stone CIIC 53		de	CIIC 53	Ogam Stein CIIC 53		52.8463,-8.9807	Q85394775	Q27	Q181862	ATUCMLU	
Q70892414	en	CIIC 54	54	Ogam Stone CIIC 54		de	CIIC 54	Ogam Stein CIIC 54		52.8033333,-8.447777777777778	Q85393912	Q27	Q181862	[TH]URGRIM RISTI [KR]US THINA BENDACHT [AR] TOROQR[IM]	Q18122778
Q70892416	en	CIIC 55	55	Ogam Stone CIIC 55		de	CIIC 55	Ogam Stein CIIC 55		51.7330556,-9.28361111111111	Q85394096	Q27	Q181862	ANM SAINA MAQ OGALA MUCOI TEMOCA	
Q70892424	en	CIIC 56	56	Ogam Stone CIIC 56		de	CIIC 56	Ogam Stein CIIC 56		52.0680556,-8.599444444444446	Q85393991	Q27	Q162475	SAGITTARI	
Q70892427	en	CIIC 57	57	Ogam Stone CIIC 57		de	CIIC 57	Ogam Stein CIIC 57		52.0811111,-8.601944444444444	Q72006007	Q27	Q162475	TRENU MAQI MUCOI QRITTI	
Q70892430	en	CIIC 58	58	Ogam Stone CIIC 58		de	CIIC 58	Ogam Stein CIIC 58		52.0811111,-8.601944444444444	Q72006007	Q27	Q162475	CATTUBUTTAS MAQ[...	Q18122778
Q70892431	en	CIIC 59	59	Ogam Stone CIIC 59		de	CIIC 59	Ogam Stein CIIC 59		52.0102778,-8.453333333333333	Q85393914	Q27	Q162475	]UIVAIBES ]RTAGNI	Q18122778
Q70892434	en	CIIC 60	60	Ogam Stone CIIC 60		de	CIIC 60	Ogam Stein CIIC 60		52.0102778,-8.453333333333333	Q85393914	Q27	Q162475	MAILAGN(I)	Q18122778
