WikidataID	lang_en	label_en	P1545_ciic	description_en	alias_en	lang_de	label_de	description_de	alias_de	P625_coord	P189_place	P17_country	P189_county	P1684	P518_I
Q70892545	en	CIIC 125	125	Ogam Stone CIIC 125		de	CIIC 125	Ogam Stein CIIC 125		51.8866667,-8.784166666666666	Q85394017	Q27	Q162475	MAQI-ERCIAS MAQI VALAMNI	
Q70892549	en	CIIC 126	126	Ogam Stone CIIC 126		de	CIIC 126	Ogam Stein CIIC 126		51.8866667,-8.784166666666666	Q85394017	Q27	Q162475	VEDACUNA [MAQI] TOBIRA MUCOI SOGINI	Q18122778
Q70885722	en	CIIC 127	127	Ogam Stone CIIC 127	Ogam Stone 20 (Stone Corridor at UCC)	de	CIIC 127	Ogam Stein CIIC 127	Ogham Stein 20 (Stein Corridor at UCC)	51.9463889,-8.757222222222222	Q85394019	Q27	Q162475	MAQILASPOG B TTMACDE	
Q70885734	en	CIIC 128	128	Ogam Stone CIIC 128	Ogam Stone 25 (Stone Corridor at UCC)	de	CIIC 128	Ogam Stein CIIC 128	Ogham Stein 25 (Stein Corridor at UCC)	52.0075,-8.909166666666668	Q85393943	Q27	Q162475	DOVETI MAQI LOCARENAS CELI MAQI-CULIDOVI	
Q70892550	en	CIIC 129	129	Ogam Stone CIIC 129		de	CIIC 129	Ogam Stein CIIC 129		51.5086111,-9.02638888888889	Q85393945	Q27	Q162475	VEQOANAI MAQI EQOD[..	Q18122778
Q70892553	en	CIIC 130	130	Ogam Stone CIIC 130		de	CIIC 130	Ogam Stein CIIC 130		52.0666667,-8.928055555555554	Q85393948	Q27	Q162475	SECIDARI	
Q70892555	en	CIIC 131	131	Ogam Stone CIIC 131		de	CIIC 131	Ogam Stein CIIC 131		51.8494444, -9.115	Q85394021	Q27	Q162475	LITUBIRI MAQI QECIA	
Q70892556	en	CIIC 132	132	Ogam Stone CIIC 132		de	CIIC 132	Ogam Stein CIIC 132		51.8494444, -9.115	Q85394021	Q27	Q162475	LACAVAGNI	
Q70892558	en	CIIC 133	133	Ogam Stone CIIC 133		de	CIIC 133	Ogam Stein CIIC 133		51.8494444, -9.115	Q85394021	Q27	Q162475	VAITEVIA	
Q70892561	en	CIIC 134	134	Ogam Stone CIIC 134		de	CIIC 134	Ogam Stein CIIC 134		51.8283333,-9.228055555555555	Q85394084	Q27	Q162475	ASSICONA	
Q70892563	en	CIIC 135	135	Ogam Stone CIIC 135		de	CIIC 135	Ogam Stein CIIC 135		51.9261111,-9.08388888888889	Q85394128	Q27	Q162475	MINNACCANNI MAQI AILLUATTAN	
Q70892567	en	CIIC 136	136	Ogam Stone CIIC 136		de	CIIC 136	Ogam Stein CIIC 136		52.3288889,-9.772777777777778	Q85394024	Q27	Q162475	CT[A]N ... QLOG	Q18122778
Q70892569	en	CIIC 137	137	Ogam Stone CIIC 137		de	CIIC 137	Ogam Stein CIIC 137		52.3627778,-9.724166666666667	Q85394087	Q27	Q184469	ANM VEDLLOIGGOI MACI SEDDOINI	Q18122778
Q70892572	en	CIIC 138	138	Ogam Stone CIIC 138		de	CIIC 138	Ogam Stein CIIC 138		52.1294444,-10.17611111111111	Q85393952	Q27	Q184469	LADDIGNI MAQQI MUCCOI AN...	
Q70892574	en	CIIC 139	139	Ogam Stone CIIC 139		de	CIIC 139	Ogam Stein CIIC 139		52.1294444,-10.17611111111111	Q85393952	Q27	Q184469	LAIDANN MAQI MACORBO	
Q70892577	en	CIIC 140	140	Ogam Stone CIIC 140		de	CIIC 140	Ogam Stein CIIC 140		52.1294444,-10.17611111111111	Q85393952	Q27	Q184469	LUGUVVECCA MAQI[...	Q18122778
Q70892578	en	CIIC 141	141	Ogam Stone CIIC 141		de	CIIC 141	Ogam Stein CIIC 141		52.1330556,-10.138055555555555	Q85393955	Q27	Q184469	MAQI MQ[I-...O]GGODIKA.	Q18122778
Q70892582	en	CIIC 142	142	Ogam Stone CIIC 142		de	CIIC 142	Ogam Stein CIIC 142		52.1330556,-10.138055555555555	Q85393955	Q27	Q184469	...] CELI AVI VU[..	Q18122778
Q70892584	en	CIIC 143	143	Ogam Stone CIIC 143		de	CIIC 143	Ogam Stein CIIC 143		52.1591667,-10.063055555555556	Q85394130	Q27	Q184469	TAQMAQO	Q18122778
Q70892586	en	CIIC 144	144	Ogam Stone CIIC 144		de	CIIC 144	Ogam Stein CIIC 144		52.1430556,-10.049166666666666	Q85394026	Q27	Q184469	DITAV	
Q70892592	en	CIIC 145	145	Ogam Stone CIIC 145		de	CIIC 145	Ogam Stein CIIC 145		52.2675,-10.236944444444443	Q85394028	Q27	Q184469	QRIMITIR RON[A]NN MAQ COMOGANN	Q18122778
Q70892594	en	CIIC 146	146	Ogam Stone CIIC 146		de	CIIC 146	Ogam Stein CIIC 146		52.1666667,-10.382222222222223	Q85393959	Q27	Q184469	LUGUQRIT MA[QI] QRITT[I]	Q18122778
Q70892598	en	CIIC 147	147	Ogam Stone CIIC 147		de	CIIC 147	Ogam Stein CIIC 147		52.1405556,-10.2075	Q85393961	Q27	Q184469	MOINENA MAQI OLACON	
Q70892599	en	CIIC 148	148	Ogam Stone CIIC 148		de	CIIC 148	Ogam Stein CIIC 148		52.1761111,-10.386111111111111	Q85394310	Q27	Q184469	DUBONIRRAS MAQQI TENAC[I]	Q18122778
Q70892602	en	CIIC 149	149	Ogam Stone CIIC 149		de	CIIC 149	Ogam Stein CIIC 149		52.1761111,-10.386111111111111	Q85394310	Q27	Q184469	MQQI-QETTI MAQQI CUNITTI	
Q70892604	en	CIIC 150	150	Ogam Stone CIIC 150		de	CIIC 150	Ogam Stein CIIC 150		52.1761111,-10.386111111111111	Q85394310	Q27	Q184469	GRAVICAS MAQI MUCOI DOVVINIAS	
