lang_en	label_en	description_en	alias_en	lang_de	label_de	description_de	alias_en	P31	P361	P17	P625	P186	P195_1	P195_2	P195_3	P189_country	P189_place	P2043	P2048	P2049	P1684	P518_I	P6568_1	P518_IE1	P6568_2	P518_IE2	P6568_3	P518_IE3	P6568_4	P518_IE4	P6568_5	P518_IE5	P5816
en	CIIC 116	Ogam Stone CIIC 116	Ogham Stone 6 (Stone Corridor at UCC)	de	CIIC 116	Ogam Stein CIIC 116	Ogham Stein 6 (Stone Corridor UCC)	Q2016147	Q67978809	Q27	51.4180556,-8.794722222222221	Q70383318	Q69383371	Q69379477		Q162475	Q69383268	25.4	190.05	43.18	RANI MAQQI MUCC[OI......]R[A]L[...	Q18122778	Q67381254	Q18122778	Q67999759	Q18122778							Q56557591
en	CIIC 113	Ogam Stone CIIC 113	Ogham Stone 5 (Stone Corridor at UCC)	de	CIIC 113	Ogam Stein CIIC 113	Ogham Stein 5 (Stone Corridor UCC)	Q2016147	Q67978809	Q27	51.4180556,-8.794722222222221	Q207079	Q69383371	Q69379477		Q162475	Q69383268	22.86	175.26	38.1	VEQIKAMI MAQI LUGUNI		Q67381254		Q67383482								Q56557591
